hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
CHC,NYY,0.4782608704725898,0.5217391295274102,8.0,Jordan Wicks,Luis Gil,2024-09-06T18:20:00.0000000Z
MIL,COL,0.6750312465671372,0.3249687534328628,7.5,Frankie Montas,Ryan Feltner,2024-09-06T22:10:00.0000000Z
PIT,WAS,0.5108342368128271,0.48916576318717286,8.5,Luis Ortiz (PIT),DJ Herz,2024-09-06T22:40:00.0000000Z
BAL,TB,0.5829926396165348,0.41700736038346525,8.5,Dean Kremer,Shane Baz,2024-09-06T23:05:00.0000000Z
MIA,PHI,0.3309929791381164,0.6690070208618836,7.0,Edward Cabrera,Zack Wheeler,2024-09-06T23:10:00.0000000Z
BOS,CWS,0.7135512296842407,0.2864487703157593,8.5,Nick Pivetta,Davis Martin,2024-09-06T23:10:00.0000000Z
NYM,CIN,0.6224665504181792,0.3775334495818207,7.5,Sean Manaea,Fernando Cruz,2024-09-06T23:10:00.0000000Z
ATL,TOR,0.6037569700561242,0.39624302994387584,7.5,Max Fried,Kevin Gausman,2024-09-06T23:20:00.0000000Z
TEX,LAA,0.5829926396165348,0.41700736038346525,9.0,Gerson Garabito,Samuel Aldegheri,2024-09-07T00:05:00.0000000Z
KC,MIN,0.5634920623536956,0.4365079376463043,7.5,Cole Ragans,Zebby Matthews,2024-09-07T00:10:00.0000000Z
HOU,ARI,0.6164383554888346,0.3835616445111653,7.5,Framber Valdez,Brandon Pfaadt,2024-09-07T00:10:00.0000000Z
STL,SEA,0.5043297536554499,0.49567024634455015,7.5,Erick Fedde,Bryce Miller,2024-09-07T00:15:00.0000000Z
OAK,DET,0.40663024724038055,0.5933697527596195,7.0,Mitch Spence,Tarik Skubal,2024-09-07T01:40:00.0000000Z
SD,SF,0.644729178499835,0.35527082150016503,8.0,Michael King,Mason Black,2024-09-07T01:40:00.0000000Z
LAD,CLE,0.5720596349287028,0.4279403650712972,9.0,Landon Knack,Matthew Boyd,2024-09-07T02:10:00.0000000Z
