hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
CLE,MIN,0.4826358742776059,0.5173641257223941,7.5,Matthew Boyd,Pablo Lopez,2024-09-16T22:40:00.0000000Z
NYM,WAS,0.630940342760865,0.36905965723913503,7.5,Sean Manaea,Jake Irvin,2024-09-16T23:10:00.0000000Z
ATL,LAD,0.47391341595118586,0.5260865840488141,7.5,Max Fried,Yoshinobu Yamamoto,2024-09-16T23:20:00.0000000Z
CHC,OAK,0.644729178499835,0.35527082150016503,8.0,Shota Imanaga,Joey Estes,2024-09-16T23:40:00.0000000Z
MIL,PHI,0.49567024634455015,0.5043297536554499,8.0,Aaron Civale,Ranger Suarez,2024-09-16T23:40:00.0000000Z
KC,DET,0.5720596349287028,0.4279403650712972,8.0,Seth Lugo,,2024-09-16T23:40:00.0000000Z
STL,PIT,0.43650793764630424,0.5634920623536958,7.0,Andre Pallante,Paul Skenes,2024-09-16T23:45:00.0000000Z
COL,ARI,0.39076376684029035,0.6092362331597097,11.5,Antonio Senzatela,Merrill Kelly,2024-09-17T00:40:00.0000000Z
LAA,CWS,0.630940342760865,0.36905965723913503,8.0,Reid Detmers,Jonathan Cannon,2024-09-17T01:38:00.0000000Z
SD,HOU,0.5217391295274103,0.47826087047258975,8.0,Yu Darvish,Spencer Arrighetti,2024-09-17T01:40:00.0000000Z
