2024-03-20,SD,LAD,-3,2,1,2,Yu Darvish,Tyler Glasnow
2024-03-21,SD,LAD,4,15,3,11,Joe Musgrove,Yoshinobu Yamamoto
2024-03-28,SD,SF,2,6,1,2,Yu Darvish,Logan Webb
2024-03-29,SD,SF,-5,3,-2,2,Joe Musgrove,Kyle Harrison
2024-03-30,SD,SF,-3,6,-2,1,Dylan Cease,Jordan Hicks
2024-03-31,SD,SF,9,13,10,12,Michael King,Daulton Jefferies
2024-04-01,SD,STL,-4,2,-4,2,Matt Waldron,Kyle Gibson
2024-04-02,SD,STL,-3,2,-1,2,Yu Darvish,Miles Mikolas
2024-04-03,SD,STL,1,3,2,3,Joe Musgrove,Zack Thompson
2024-04-05,SD,SF,-1,2,0,2,Dylan Cease,Jordan Hicks
2024-04-06,SD,SF,4,4,4,4,Michael King,Keaton Winn
2024-04-07,SD,SF,-1,2,1,2,Matt Waldron,Logan Webb
2024-04-08,SD,CHC,1,9,-1,7,Yu Darvish,Javier Assad
2024-04-09,SD,CHC,-4,1,-4,1,Joe Musgrove,Ben Brown
2024-04-10,SD,CHC,8,10,5,7,Dylan Cease,Kyle Hendricks
2024-04-12,SD,LAD,1,8,-3,4,Michael King,Yoshinobu Yamamoto
2024-04-13,SD,LAD,-3,2,-3,1,Matt Waldron,Gavin Stone
2024-04-14,SD,LAD,3,6,0,3,Yu Darvish,James Paxton
2024-04-15,SD,MIL,4,7,4,7,Joe Musgrove,Joe Ross
2024-04-16,SD,MIL,3,6,3,4,Dylan Cease,Wade Miley
2024-04-17,SD,MIL,-1,0,0,0,Michael King,Bryse Wilson
2024-04-19,SD,TOR,-4,1,-4,1,Matt Waldron,Yariel Rodriguez
2024-04-20,SD,TOR,-3,2,-4,0,Randy Vasquez,Jose Berrios
2024-04-21,SD,TOR,3,6,2,4,Joe Musgrove,Chris Bassitt
2024-04-22,SD,COL,2,3,0,1,Dylan Cease,Austin Gomber
2024-04-23,SD,COL,-3,4,-3,4,Michael King,Ryan Feltner
2024-04-24,SD,COL,3,5,4,5,Matt Waldron,Ty Blach
2024-04-25,SD,COL,-1,9,2,6,Randy Vasquez,Dakota Hudson
2024-04-26,SD,PHI,-6,3,-6,1,Joe Musgrove,Aaron Nola
2024-04-27,SD,PHI,-4,1,-5,0,Dylan Cease,Ranger Suarez
2024-04-28,SD,PHI,-2,6,-3,3,Michael King,Taijuan Walker
2024-04-29,SD,CIN,-3,2,-3,1,Matt Waldron,Nick Lodolo
2024-04-30,SD,CIN,2,6,4,6,Yu Darvish,Nick Martinez
2024-05-01,SD,CIN,4,6,0,2,Joe Musgrove,Graham Ashcraft
2024-05-03,SD,AZ,6,7,6,7,Dylan Cease,Slade Cecconi
2024-05-04,SD,AZ,12,13,3,3,Michael King,Brandon Pfaadt
2024-05-05,SD,AZ,-7,4,-7,4,Matt Waldron,Ryne Nelson
2024-05-06,SD,CHC,3,6,4,6,Yu Darvish,Justin Steele
2024-05-07,SD,CHC,-1,2,-1,0,Randy Vasquez,Shota Imanaga
2024-05-08,SD,CHC,3,3,3,3,Dylan Cease,Hayden Wesneski
2024-05-10,SD,LAD,1,2,1,1,Michael King,Tyler Glasnow
2024-05-11,SD,LAD,-5,0,-5,0,Matt Waldron,James Paxton
2024-05-12,SD,LAD,4,4,4,4,Yu Darvish,Walker Buehler
