2023-03-30,PIT,CIN,1,5,0,4,Mitch Keller,Hunter Greene
2023-04-01,PIT,CIN,-4,2,-4,2,Rich Hill,Nick Lodolo
2023-04-02,PIT,CIN,-2,1,-2,1,Vince Velasquez,Graham Ashcraft
2023-04-03,PIT,BOS,1,7,1,7,Johan Oviedo,Kutter Crawford
2023-04-04,PIT,BOS,3,4,2,3,Roansy Contreras,Nick Pivetta
2023-04-05,PIT,BOS,3,4,2,2,Mitch Keller,Corey Kluber
2023-04-07,PIT,CWS,4,13,5,12,Rich Hill,Lucas Giolito
2023-04-08,PIT,CWS,-6,5,-2,4,Vince Velasquez,Mike Clevinger
2023-04-09,PIT,CWS,1,1,1,1,Johan Oviedo,Michael Kopech
2023-04-10,PIT,HOU,-6,2,-5,2,Roansy Contreras,Framber Valdez
2023-04-11,PIT,HOU,3,7,2,4,Mitch Keller,Cristian Javier
2023-04-12,PIT,HOU,-7,0,-2,0,Rich Hill,Jose Urquidy
2023-04-13,PIT,STL,5,5,1,1,Vince Velasquez,Jordan Montgomery
2023-04-14,PIT,STL,-3,0,-1,0,Johan Oviedo,Jake Woodford
2023-04-15,PIT,STL,3,6,0,2,Roansy Contreras,Steven Matz
2023-04-16,PIT,STL,-1,4,0,3,Mitch Keller,Miles Mikolas
2023-04-17,PIT,COL,11,14,12,13,Rich Hill,Kyle Freeland
2023-04-18,PIT,COL,2,5,2,5,Vince Velasquez,Jose Urena
2023-04-19,PIT,COL,11,14,11,12,Johan Oviedo,Austin Gomber
2023-04-20,PIT,CIN,1,4,4,4,Roansy Contreras,Luke Weaver
2023-04-21,PIT,CIN,2,4,1,3,Mitch Keller,Graham Ashcraft
2023-04-22,PIT,CIN,1,2,1,2,Rich Hill,Luis Cessa
2023-04-23,PIT,CIN,2,2,1,1,Vince Velasquez,Hunter Greene
2023-04-25,PIT,LAD,-1,7,2,7,Johan Oviedo,Noah Syndergaard
2023-04-26,PIT,LAD,7,8,3,3,Roansy Contreras,Tony Gonsolin
2023-04-27,PIT,LAD,4,6,4,6,Mitch Keller,Julio Urias
2023-04-29,PIT,WSH,13,16,9,12,Vince Velasquez,Chad Kuhl
2023-04-30,PIT,WSH,-5,2,-6,1,Johan Oviedo,Josiah Gray
2023-05-02,PIT,TB,-3,1,-3,1,Roansy Contreras,Javy Guerra
2023-05-03,PIT,TB,-7,1,-5,1,Mitch Keller,Shane Mcclanahan
2023-05-04,PIT,TB,-1,2,-2,0,Vince Velasquez,Zach Eflin
2023-05-05,PIT,TOR,-4,0,-4,0,Rich Hill,Chris Bassitt
2023-05-06,PIT,TOR,-6,2,-6,1,Johan Oviedo,Jose Berrios
2023-05-07,PIT,TOR,-9,1,-5,0,Roansy Contreras,Yusei Kikuchi
2023-05-08,PIT,COL,2,2,0,0,Mitch Keller,Kyle Freeland
2023-05-09,PIT,COL,-9,1,-4,1,Luis L,Connor Seabold
2023-05-10,PIT,COL,-1,3,0,3,Rich Hill,Antonio Senzatela
2023-05-12,PIT,BAL,-3,3,0,1,Johan Oviedo,Kyle Bradish
2023-05-13,PIT,BAL,-2,0,-2,0,Roansy Contreras,Tyler Wells
2023-05-14,PIT,BAL,4,4,4,4,Mitch Keller,Kyle Gibson
2023-05-16,PIT,DET,-4,0,-4,0,Luis L,Michael Lorenzen
2023-05-17,PIT,DET,8,8,4,4,Rich Hill,Eduardo Rodriguez
2023-05-19,PIT,AZ,10,13,10,11,Johan Oviedo,Zac Gallen
2023-05-20,PIT,AZ,-1,3,1,3,Mitch Keller,Brandon Pfaadt
2023-05-21,PIT,AZ,-5,3,-1,3,Roansy Contreras,Merrill Kelly
2023-05-22,PIT,TEX,2,6,0,1,Luis L,Dane Dunning
2023-05-23,PIT,TEX,-5,1,-4,1,Rich Hill,Nathan Eovaldi
2023-05-24,PIT,TEX,-1,2,-1,2,Johan Oviedo,Martin Perez
2023-05-26,PIT,SEA,5,11,4,8,Mitch Keller,George Kirby
2023-05-27,PIT,SEA,-5,0,-4,0,Vince Velasquez,Luis Castillo
2023-05-28,PIT,SEA,-3,3,-2,1,Luis L,Marco Gonzales
2023-05-29,PIT,SF,-10,4,-5,1,Rich Hill,Anthony Desclafani
2023-05-30,PIT,SF,1,2,1,2,Johan Oviedo,John Brebbia
2023-05-31,PIT,SF,5,9,4,8,Mitch Keller,Alex Wood
2023-06-02,PIT,STL,2,7,-4,1,Roansy Contreras,Jack Flaherty
2023-06-03,PIT,STL,1,4,3,4,Luis L,Jordan Montgomery
2023-06-04,PIT,STL,1,2,2,2,Rich Hill,Miles Mikolas
2023-06-05,PIT,OAK,1,5,1,4,Johan Oviedo,Jp Sears
2023-06-06,PIT,OAK,-9,2,-3,2,Mitch Keller,James Kaprielian
2023-06-07,PIT,OAK,-4,5,-4,3,Roansy Contreras,Hogan Harris
2023-06-09,PIT,NYM,7,14,10,12,Rich Hill,Tylor Megill
2023-06-10,PIT,NYM,-4,1,0,1,Johan Oviedo,Kodai Senga
2023-06-11,PIT,NYM,1,2,1,2,Mitch Keller,Carlos Carrasco
2023-06-13,PIT,CHC,-8,3,-1,3,Luis L,Jameson Taillon
2023-06-14,PIT,CHC,-4,6,-2,5,Osvaldo Bido,Drew Smyly
2023-06-15,PIT,CHC,-5,2,-5,2,Johan Oviedo,Marcus Stroman
2023-06-16,PIT,MIL,-1,4,-3,2,Rich Hill,Julio Teheran
2023-06-17,PIT,MIL,-5,0,-4,0,Mitch Keller,Wade Miley
2023-06-18,PIT,MIL,-3,2,1,2,Luis L,Freddy Peralta
2023-06-19,PIT,CHC,-8,0,-3,0,Osvaldo Bido,Drew Smyly
2023-06-20,PIT,CHC,-4,0,-2,0,Johan Oviedo,Marcus Stroman
2023-06-21,PIT,CHC,-5,3,-4,1,Rich Hill,Kyle Hendricks
2023-06-22,PIT,MIA,-2,4,1,2,Mitch Keller,Braxton Garrett
2023-06-23,PIT,MIA,2,3,-1,0,Luis L,Jesus Luzardo
2023-06-24,PIT,MIA,-1,3,-2,0,Osvaldo Bido,Bryan Hoeing
2023-06-25,PIT,MIA,-2,0,-1,0,Johan Oviedo,Eury Perez
2023-06-27,PIT,SD,5,9,4,8,Rich Hill,Reiss Knehr
2023-06-28,PIT,SD,6,7,1,2,Mitch Keller,Blake Snell
2023-06-29,PIT,SD,1,5,-2,2,Luis L,Joe Musgrove
2023-06-30,PIT,MIL,1,8,-1,3,Osvaldo Bido,Freddy Peralta
2023-07-01,PIT,MIL,-3,8,-8,2,Johan Oviedo,Corbin Burnes
2023-07-02,PIT,MIL,-3,3,-1,2,Rich Hill,Colin Rea
2023-07-03,PIT,LAD,-3,2,-3,2,Mitch Keller,Michael Grove
2023-07-04,PIT,LAD,2,9,0,6,Luis L,Emmet Sheehan
2023-07-05,PIT,LAD,-2,4,-2,4,Osvaldo Bido,Bobby Miller
2023-07-06,PIT,LAD,-3,2,-2,2,Johan Oviedo,Julio Urias
2023-07-07,PIT,AZ,-4,3,-6,1,Rich Hill,Zac Gallen
2023-07-08,PIT,AZ,-1,2,1,1,Mitch Keller,Kyle Nelson
2023-07-09,PIT,AZ,2,4,1,3,Carmen Mlodzinski,Zach Davies
2023-07-14,PIT,SF,-2,4,1,4,Rich Hill,Ross Stripling
2023-07-15,PIT,SF,-2,1,0,1,Johan Oviedo,Alex Cobb
2023-07-16,PIT,SF,-4,4,-1,2,Osvaldo Bido,Alex Wood
2023-07-17,PIT,CLE,-11,0,-7,0,Quinn Priester,Xzavion Curry
2023-07-18,PIT,CLE,-9,1,-7,1,Mitch Keller,Logan Allen
2023-07-19,PIT,CLE,2,7,-2,2,Rich Hill,Aaron Civale
2023-07-21,PIT,LAA,-3,5,-3,5,Johan Oviedo,Shohei Ohtani
2023-07-22,PIT,LAA,3,3,3,3,Ryan Borucki,Reid Detmers
2023-07-23,PIT,LAA,-2,5,-6,1,Mitch Keller,Tyler Anderson
2023-07-24,PIT,SD,4,8,4,8,Quinn Priester,Yu Darvish
2023-07-25,PIT,SD,-4,1,-1,1,Rich Hill,Blake Snell
2023-07-26,PIT,SD,1,3,1,2,Johan Oviedo,Seth Lugo
2023-07-28,PIT,PHI,-1,1,-1,1,Mitch Keller,Zack Wheeler
2023-07-29,PIT,PHI,1,7,2,7,Quinn Priester,Aaron Nola
2023-07-30,PIT,PHI,2,6,0,2,Rich Hill,Cristopher Sanchez
2023-08-01,PIT,DET,3,4,4,4,Johan Oviedo,Matt Manning
2023-08-02,PIT,DET,-3,3,-3,2,Osvaldo Bido,Eduardo Rodriguez
2023-08-03,PIT,MIL,-13,1,-10,1,Mitch Keller,Adrian Houser
