date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,TEX,PHI,-2,3,-5,0,Nathan Eovaldi,Cristopher Sanchez
2026-03-28,TEX,PHI,1,5,3,3,Jacob Latz,Aaron Nola
2026-03-29,TEX,PHI,5,8,4,6,Mackenzie Gore,Jesus Luzardo
2026-03-30,TEX,BAL,3,5,2,4,Jack Leiter,Chris Bassitt
2026-03-31,TEX,BAL,3,8,1,4,Jacob Degrom,Zach Eflin
2026-04-01,TEX,BAL,-5,3,-6,2,Nathan Eovaldi,Trevor Rogers
2026-04-03,TEX,CIN,-2,3,-1,2,Mackenzie Gore,Brady Singer
2026-04-04,TEX,CIN,-2,0,-2,0,Kumar Rocker,Rhett Lowder
2026-04-05,TEX,CIN,-1,1,-1,0,Jack Leiter,Chase Burns
2026-04-06,TEX,SEA,1,2,1,2,Jacob Degrom,Logan Gilbert
2026-04-07,TEX,SEA,1,3,1,3,Nathan Eovaldi,George Kirby
2026-04-08,TEX,SEA,3,3,3,3,Mackenzie Gore,Bryan Woo
2026-04-10,TEX,LAD,-1,7,-1,4,Kumar Rocker,Tyler Glasnow
2026-04-11,TEX,LAD,-3,3,-2,3,Jack Leiter,Emmet Sheehan
2026-04-12,TEX,LAD,3,5,2,3,Jacob Degrom,Roki Sasaki
2026-04-13,TEX,ATH,7,8,4,4,Nathan Eovaldi,Luis Severino
2026-04-14,TEX,ATH,-1,1,-1,1,Mackenzie Gore,Jeffrey Springs
2026-04-15,TEX,ATH,-1,5,-2,2,Kumar Rocker,J T
2026-04-16,TEX,ATH,3,9,0,3,Jack Leiter,Jacob Lopez
2026-04-17,TEX,SEA,5,5,2,2,Jacob Degrom,Logan Gilbert
2026-04-18,TEX,SEA,-4,3,-3,1,Nathan Eovaldi,George Kirby
2026-04-19,TEX,SEA,-3,2,-5,0,Mackenzie Gore,Bryan Woo
2026-04-21,TEX,PIT,4,5,4,5,Kumar Rocker,Carmen Mlodzinski
2026-04-22,TEX,PIT,-4,4,-2,2,Jack Leiter,Braxton Ashcraft
2026-04-23,TEX,PIT,5,6,5,6,Jacob Degrom,Bubba Chandler
2026-04-24,TEX,ATH,-7,1,-5,1,Nathan Eovaldi,Luis Severino
2026-04-25,TEX,ATH,1,4,1,4,Mackenzie Gore,Jeffrey Springs
2026-04-26,TEX,ATH,-1,1,-1,1,Kumar Rocker,J T
2026-04-27,TEX,NYY,-2,2,-4,0,Jack Leiter,Max Fried
2026-04-28,TEX,NYY,-1,2,-1,0,Jacob Degrom,Cam Schlittler
2026-04-29,TEX,NYY,3,3,2,2,Nathan Eovaldi,Elmer Rodriguez
2026-05-01,TEX,DET,1,5,0,4,Mackenzie Gore,Jack Flaherty
2026-05-02,TEX,DET,-4,1,-4,1,Kumar Rocker,Keider Montero
2026-05-03,TEX,DET,-6,1,-3,0,Jack Leiter,Tyler Holton
2026-05-05,TEX,NYY,-3,4,-1,3,Jacob Degrom,Elmer Rodriguez
2026-05-06,TEX,NYY,5,6,5,6,Nathan Eovaldi,Will Warren
2026-05-07,TEX,NYY,-7,2,-5,2,Mackenzie Gore,Paul Blackburn
2026-05-08,TEX,CHC,-6,1,-3,1,Kumar Rocker,Ben Brown
2026-05-09,TEX,CHC,6,6,6,6,Jack Leiter,Edward Cabrera
2026-05-10,TEX,CHC,3,3,1,1,Jacob Degrom,Jameson Taillon
2026-05-11,TEX,AZ,-1,0,-1,0,Jakob Junis,Michael Soroka
2026-05-12,TEX,AZ,3,7,6,7,Mackenzie Gore,Zac Gallen
2026-05-13,TEX,AZ,1,6,2,3,Kumar Rocker,Ryne Nelson
2026-05-15,TEX,HOU,-2,0,-1,0,Jack Leiter,Spencer Arrighetti
2026-05-16,TEX,HOU,-3,1,-4,0,Jacob Degrom,Kai Wei
2026-05-17,TEX,HOU,8,8,2,2,Nathan Eovaldi,Peter Lambert
2026-05-18,TEX,COL,-1,6,-4,3,Mackenzie Gore,Jose Quintana
2026-05-19,TEX,COL,10,10,8,8,Tyler Alexander,Sammy Peralta
2026-05-20,TEX,COL,1,5,-1,3,Jack Leiter,Kyle Freeland
2026-05-22,TEX,LAA,-3,6,-2,4,Jacob Degrom,Grayson Rodriguez
2026-05-23,TEX,LAA,-3,2,-2,1,Nathan Eovaldi,Walbert Urena
2026-05-24,TEX,LAA,-1,1,0,1,Mackenzie Gore,Reid Detmers
2026-05-25,TEX,HOU,-9,0,-4,0,Kumar Rocker,Tatsuya Imai
2026-05-26,TEX,HOU,3,10,5,9,Jack Leiter,Jason Alexander
2026-05-27,TEX,HOU,-1,3,0,2,Jacob Degrom,Mike Burrows
2026-05-28,TEX,HOU,-4,1,-4,1,Nathan Eovaldi,Spencer Arrighetti
2026-05-29,TEX,KC,8,9,8,8,Mackenzie Gore,Stephen Kolek
2026-05-30,TEX,KC,1,7,3,3,Kumar Rocker,Seth Lugo
2026-05-31,TEX,KC,3,6,6,6,Jack Leiter,Michael Wacha
2026-06-01,TEX,STL,1,2,1,2,Jacob Degrom,Michael Mcgreevy
2026-06-02,TEX,STL,3,7,1,3,Nathan Eovaldi,Dustin May
2026-06-03,TEX,STL,-2,3,-4,1,Mackenzie Gore,Andre Pallante
2026-06-05,TEX,CLE,1,3,1,3,Kumar Rocker,Parker Messick
2026-06-06,TEX,CLE,-6,0,-5,0,Jack Leiter,Tanner Bibee
2026-06-07,TEX,CLE,10,10,8,8,Jacob Degrom,Joey Cantillo
2026-06-09,TEX,KC,-2,3,-3,2,Nathan Eovaldi,Stephen Kolek
2026-06-10,TEX,KC,2,6,-1,2,Mackenzie Gore,Seth Lugo
2026-06-11,TEX,KC,2,4,2,4,Kumar Rocker,Michael Wacha
2026-06-12,TEX,BOS,-9,1,-5,1,Jack Leiter,Sonny Gray
2026-06-13,TEX,BOS,-3,3,0,2,Jacob Degrom,Ranger Suarez
2026-06-14,TEX,BOS,2,6,3,6,Nathan Eovaldi,Connelly Early
2026-06-15,TEX,MIN,-2,2,-2,2,Mackenzie Gore,Mike Paredes
2026-06-16,TEX,MIN,-10,2,-8,2,Kumar Rocker,Zebby Matthews
2026-06-18,TEX,MIN,-6,3,-5,2,Jack Leiter,Joe Ryan
2026-06-19,TEX,SD,2,9,2,8,Jacob Degrom,Randy Vasquez
2026-06-20,TEX,SD,-2,4,0,1,Mackenzie Gore,Walker Buehler
2026-06-21,TEX,SD,1,4,1,4,Nathan Eovaldi,Wandy Peralta
2026-06-22,TEX,MIA,1,4,0,2,Tyler Alexander,Tyler Phillips
2026-06-23,TEX,MIA,-2,4,-5,1,Cal Quantrill,Sandy Alcantara
2026-06-24,TEX,MIA,-2,2,-1,1,Jacob Degrom,Eury Perez
2026-06-25,TEX,TOR,1,6,3,6,Mackenzie Gore,Kevin Gausman
