date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,BAL,MIN,1,2,0,0,Trevor Rogers,Joe Ryan
2026-03-28,BAL,MIN,-3,1,-2,1,Kyle Bradish,Taj Bradley
2026-03-29,BAL,MIN,2,8,1,5,Shane Baz,Bailey Ober
2026-03-30,BAL,TEX,-3,2,-2,2,Chris Bassitt,Jack Leiter
2026-03-31,BAL,TEX,-3,5,-1,3,Zach Eflin,Jacob Degrom
2026-04-01,BAL,TEX,5,8,6,8,Trevor Rogers,Nathan Eovaldi
2026-04-03,BAL,PIT,-1,4,-3,2,Kyle Bradish,Mitch Keller
2026-04-04,BAL,PIT,-1,2,1,2,Shane Baz,Carmen Mlodzinski
2026-04-05,BAL,PIT,-6,2,-7,1,Chris Bassitt,Braxton Ashcraft
2026-04-06,BAL,CWS,1,2,2,2,Brandon Young,Grant Taylor
2026-04-07,BAL,CWS,2,4,-1,1,Trevor Rogers,Shane Smith
2026-04-08,BAL,CWS,2,5,1,4,Kyle Bradish,Sean Burke
2026-04-10,BAL,SF,-3,3,-2,1,Shane Baz,Landen Roupp
2026-04-11,BAL,SF,4,6,2,4,Chris Bassitt,Logan Webb
2026-04-12,BAL,SF,4,6,4,5,Cade Povich,Adrian Houser
2026-04-13,BAL,AZ,2,9,-1,6,Dean Kremer,Ryne Nelson
2026-04-14,BAL,AZ,-1,3,-2,2,Trevor Rogers,Merrill Kelly
2026-04-15,BAL,AZ,-3,5,0,4,Kyle Bradish,Eduardo Rodriguez
2026-04-16,BAL,CLE,-2,2,-4,0,Shane Baz,Parker Messick
2026-04-17,BAL,CLE,2,6,0,0,Chris Bassitt,Tanner Bibee
2026-04-18,BAL,CLE,-2,2,-2,1,Dean Kremer,Gavin Williams
2026-04-19,BAL,CLE,-4,4,-2,4,Trevor Rogers,Joey Cantillo
2026-04-20,BAL,KC,2,7,-1,0,Kyle Bradish,Seth Lugo
2026-04-21,BAL,KC,-1,5,0,3,Shane Baz,Kris Bubic
2026-04-22,BAL,KC,2,8,2,8,Chris Bassitt,Michael Wacha
2026-04-24,BAL,BOS,7,10,6,9,Brandon Young,Brayan Bello
2026-04-25,BAL,BOS,-16,1,-7,0,Trevor Rogers,Garrett Crochet
2026-04-26,BAL,BOS,-2,3,-3,2,Kyle Bradish,Connelly Early
2026-04-28,BAL,HOU,2,5,3,4,Shane Baz,Kai Wei
2026-04-30,BAL,HOU,-1,10,-6,5,Brandon Young,Peter Lambert
2026-05-01,BAL,NYY,-5,2,-4,1,Cade Povich,Will Warren
2026-05-02,BAL,NYY,-5,4,-3,3,Kyle Bradish,Ryan Weathers
2026-05-03,BAL,NYY,-8,3,-1,3,Trey Gibson,Max Fried
2026-05-04,BAL,NYY,-11,1,-5,1,Shane Baz,Cam Schlittler
2026-05-05,BAL,MIA,2,9,3,7,Chris Bassitt,Sandy Alcantara
2026-05-06,BAL,MIA,3,7,2,5,Brandon Young,Eury Perez
2026-05-07,BAL,MIA,-1,3,-1,2,Cade Povich,Max Meyer
2026-05-08,BAL,ATH,-1,3,-1,2,Kyle Bradish,Jacob Lopez
