date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,BAL,MIN,1,2,0,0,Trevor Rogers,Joe Ryan
2026-03-28,BAL,MIN,-3,1,-2,1,Kyle Bradish,Taj Bradley
2026-03-29,BAL,MIN,2,8,1,5,Shane Baz,Bailey Ober
2026-03-30,BAL,TEX,-3,2,-2,2,Chris Bassitt,Jack Leiter
2026-03-31,BAL,TEX,-3,5,-1,3,Zach Eflin,Jacob Degrom
2026-04-01,BAL,TEX,5,8,6,8,Trevor Rogers,Nathan Eovaldi
2026-04-03,BAL,PIT,-1,4,-3,2,Kyle Bradish,Mitch Keller
2026-04-04,BAL,PIT,-1,2,1,2,Shane Baz,Carmen Mlodzinski
2026-04-05,BAL,PIT,-6,2,-7,1,Chris Bassitt,Braxton Ashcraft
2026-04-06,BAL,CWS,1,2,2,2,Brandon Young,Grant Taylor
2026-04-07,BAL,CWS,2,4,-1,1,Trevor Rogers,Shane Smith
2026-04-08,BAL,CWS,2,5,1,4,Kyle Bradish,Sean Burke
2026-04-10,BAL,SF,-3,3,-2,1,Shane Baz,Landen Roupp
2026-04-11,BAL,SF,4,6,2,4,Chris Bassitt,Logan Webb
2026-04-12,BAL,SF,4,6,4,5,Cade Povich,Adrian Houser
2026-04-13,BAL,AZ,2,9,-1,6,Dean Kremer,Ryne Nelson
2026-04-14,BAL,AZ,-1,3,-2,2,Trevor Rogers,Merrill Kelly
2026-04-15,BAL,AZ,-3,5,0,4,Kyle Bradish,Eduardo Rodriguez
2026-04-16,BAL,CLE,-2,2,-4,0,Shane Baz,Parker Messick
2026-04-17,BAL,CLE,2,6,0,0,Chris Bassitt,Tanner Bibee
2026-04-18,BAL,CLE,-2,2,-2,1,Dean Kremer,Gavin Williams
2026-04-19,BAL,CLE,-4,4,-2,4,Trevor Rogers,Joey Cantillo
2026-04-20,BAL,KC,2,7,-1,0,Kyle Bradish,Seth Lugo
2026-04-21,BAL,KC,-1,5,0,3,Shane Baz,Kris Bubic
2026-04-22,BAL,KC,2,8,2,8,Chris Bassitt,Michael Wacha
2026-04-24,BAL,BOS,7,10,6,9,Brandon Young,Brayan Bello
2026-04-25,BAL,BOS,-16,1,-7,0,Trevor Rogers,Garrett Crochet
2026-04-26,BAL,BOS,-2,3,-3,2,Kyle Bradish,Connelly Early
2026-04-28,BAL,HOU,2,5,3,4,Shane Baz,Kai Wei
2026-04-30,BAL,HOU,-1,10,-6,5,Brandon Young,Peter Lambert
2026-05-01,BAL,NYY,-5,2,-4,1,Cade Povich,Will Warren
2026-05-02,BAL,NYY,-5,4,-3,3,Kyle Bradish,Ryan Weathers
2026-05-03,BAL,NYY,-8,3,-1,3,Trey Gibson,Max Fried
2026-05-04,BAL,NYY,-11,1,-5,1,Shane Baz,Cam Schlittler
2026-05-05,BAL,MIA,2,9,3,7,Chris Bassitt,Sandy Alcantara
2026-05-06,BAL,MIA,3,7,2,5,Brandon Young,Eury Perez
2026-05-07,BAL,MIA,-1,3,-1,2,Cade Povich,Max Meyer
2026-05-08,BAL,ATH,-1,3,-1,2,Kyle Bradish,Jacob Lopez
2026-05-09,BAL,ATH,-4,2,-5,0,Shane Baz,Aaron Civale
2026-05-10,BAL,ATH,1,2,1,2,Keegan Akin,Luis Severino
2026-05-11,BAL,NYY,1,3,-2,0,Brandon Young,Ryan Weathers
2026-05-12,BAL,NYY,-4,2,-4,2,Trevor Rogers,Will Warren
2026-05-13,BAL,NYY,7,7,7,7,Kyle Bradish,Max Fried
2026-05-15,BAL,WSH,-1,2,-3,0,Shane Baz,Zack Littell
2026-05-16,BAL,WSH,-10,3,-4,0,Chris Bassitt,Cade Cavalli
2026-05-17,BAL,WSH,4,7,4,6,Brandon Young,Richard Lovelady
2026-05-18,BAL,TB,-10,6,-12,4,Trevor Rogers,Shane Mcclanahan
2026-05-19,BAL,TB,-3,1,-1,1,Kyle Bradish,Griffin Jax
2026-05-20,BAL,TB,-2,3,2,3,Shane Baz,Steven Matz
2026-05-22,BAL,DET,3,7,3,7,Keegan Akin,Jack Flaherty
2026-05-24,BAL,DET,1,5,-3,1,Trevor Rogers,Framber Valdez
2026-05-25,BAL,TB,2,9,-1,0,Kyle Bradish,Shane Mcclanahan
2026-05-26,BAL,TB,5,6,5,6,Shane Baz,Griffin Jax
2026-05-27,BAL,TB,9,11,8,9,Trey Gibson,Steven Matz
2026-05-28,BAL,TOR,-1,1,0,1,Chris Bassitt,Patrick Corbin
2026-05-29,BAL,TOR,-1,5,5,5,Trevor Rogers,Adam Macko
2026-05-30,BAL,TOR,1,6,-1,1,Brandon Young,Trey Yesavage
2026-05-31,BAL,TOR,4,9,9,9,Kyle Bradish,Spencer Miles
2026-06-02,BAL,BOS,2,4,2,4,Shane Baz,Connelly Early
2026-06-03,BAL,BOS,-7,1,-8,0,Chris Bassitt,Payton Tolle
2026-06-04,BAL,BOS,6,8,7,8,Trevor Rogers,Brayan Bello
2026-06-05,BAL,TOR,10,13,3,6,Brandon Young,Trey Yesavage
2026-06-06,BAL,TOR,-2,4,-3,3,Kyle Bradish,Braydon Fisher
2026-06-07,BAL,TOR,-2,4,-1,4,Shane Baz,Kevin Gausman
2026-06-08,BAL,SEA,-3,3,-4,1,Trey Gibson,Emerson Hancock
2026-06-09,BAL,SEA,-1,5,-2,1,Trevor Rogers,Logan Gilbert
2026-06-10,BAL,SEA,5,7,3,3,Brandon Young,George Kirby
2026-06-11,BAL,SEA,2,7,2,7,Kyle Bradish,Bryan Woo
2026-06-12,BAL,SD,4,7,4,7,Shane Baz,Griffin Canning
2026-06-13,BAL,SD,-6,3,-4,2,Trey Gibson,Randy Vasquez
2026-06-14,BAL,SD,-3,2,-1,1,Trevor Rogers,Walker Buehler
2026-06-16,BAL,SEA,-2,1,0,1,Brandon Young,Logan Gilbert
2026-06-17,BAL,SEA,2,5,2,3,Kyle Bradish,George Kirby
2026-06-18,BAL,SEA,-3,0,-3,0,Shane Baz,Bryan Woo
2026-06-19,BAL,LAD,-1,5,0,3,Trey Gibson,Roki Sasaki
2026-06-20,BAL,LAD,1,3,3,3,Trevor Rogers,Yoshinobu Yamamoto
2026-06-21,BAL,LAD,11,12,5,6,Brandon Young,Emmet Sheehan
2026-06-22,BAL,LAA,5,6,5,5,Kyle Bradish,Sam Aldegheri
2026-06-23,BAL,LAA,-4,1,-5,0,Shane Baz,Ryan Johnson
2026-06-24,BAL,LAA,-1,6,3,5,Trey Gibson,Jose Soriano
