date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,NYM,PIT,4,11,6,11,Freddy Peralta,Paul Skenes
2026-03-28,NYM,PIT,2,4,0,0,David Peterson,Mitch Keller
2026-03-29,NYM,PIT,-1,3,0,2,Nolan Mclean,Carmen Mlodzinski
2026-03-30,NYM,STL,2,4,2,4,Clay Holmes,Kyle Leahy
2026-03-31,NYM,STL,-3,0,-2,0,Kodai Senga,Andre Pallante
2026-04-01,NYM,STL,-1,1,0,1,Freddy Peralta,Matthew Liberatore
2026-04-02,NYM,SF,-5,2,-5,2,David Peterson,Robbie Ray
2026-04-03,NYM,SF,7,10,3,5,Nolan Mclean,Tyler Mahle
2026-04-04,NYM,SF,9,9,8,8,Clay Holmes,Landen Roupp
2026-04-05,NYM,SF,3,5,-1,1,Kodai Senga,Logan Webb
2026-04-07,NYM,AZ,1,4,-1,2,Freddy Peralta,Zac Gallen
2026-04-08,NYM,AZ,-5,2,-4,1,David Peterson,Ryne Nelson
2026-04-09,NYM,AZ,-6,1,1,1,Nolan Mclean,Eduardo Rodriguez
2026-04-10,NYM,ATH,-4,0,-1,0,Clay Holmes,J T
2026-04-11,NYM,ATH,-5,6,-2,5,Kodai Senga,Jacob Lopez
2026-04-12,NYM,ATH,-1,0,-1,0,Freddy Peralta,Aaron Civale
2026-04-13,NYM,LAD,-4,0,-4,0,David Peterson,Justin Wrobleski
2026-04-14,NYM,LAD,-1,1,0,1,Nolan Mclean,Yoshinobu Yamamoto
2026-04-15,NYM,LAD,-6,2,-2,1,Clay Holmes,Shohei Ohtani
2026-04-17,NYM,CHC,-8,4,-4,3,Kodai Senga,Edward Cabrera
2026-04-18,NYM,CHC,-2,2,-3,1,Freddy Peralta,Jameson Taillon
2026-04-19,NYM,CHC,-1,1,1,1,Tobias Myers,Javier Assad
2026-04-21,NYM,MIN,-2,3,1,3,Nolan Mclean,Simeon Woods
2026-04-22,NYM,MIN,1,3,0,2,Clay Holmes,Connor Prielipp
2026-04-23,NYM,MIN,2,10,4,7,Christian Scott,Joe Ryan
2026-04-24,NYM,COL,-1,3,-1,1,Freddy Peralta,Michael Lorenzen
2026-04-26,NYM,COL,-2,1,-2,1,Nolan Mclean,Jose Quintana
