date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-27,TOR,ATH,1,3,1,2,Kevin Gausman,Luis Severino
2026-03-28,TOR,ATH,1,8,1,2,Dylan Cease,Jeffrey Springs
2026-03-29,TOR,ATH,3,5,3,5,Eric Lauer,Luis Morales
2026-03-30,TOR,COL,-9,5,-8,1,Cody Ponce,Tomoyuki Sugano
2026-03-31,TOR,COL,4,5,1,2,Max Scherzer,Ryan Feltner
2026-04-01,TOR,COL,-1,1,1,1,Kevin Gausman,Kyle Freeland
2026-04-03,TOR,CWS,-1,4,-2,1,Dylan Cease,Grant Taylor
2026-04-04,TOR,CWS,-3,3,-2,2,Mason Fluharty,Grant Taylor
2026-04-05,TOR,CWS,-3,0,-3,0,Eric Lauer,Davis Martin
2026-04-06,TOR,LAD,-12,2,-8,1,Max Scherzer,Justin Wrobleski
2026-04-07,TOR,LAD,-3,1,-2,1,Kevin Gausman,Yoshinobu Yamamoto
2026-04-08,TOR,LAD,1,4,-1,1,Dylan Cease,Shohei Ohtani
2026-04-10,TOR,MIN,6,10,4,8,Patrick Corbin,Simeon Woods
2026-04-11,TOR,MIN,-3,4,-5,2,Eric Lauer,Joe Ryan
2026-04-12,TOR,MIN,-6,2,-7,1,Max Scherzer,Taj Bradley
2026-04-14,TOR,MIL,2,9,-1,2,Kevin Gausman,Jacob Misiorowski
2026-04-15,TOR,MIL,-1,1,1,1,Dylan Cease,Chad Patrick
2026-04-16,TOR,MIL,-1,1,0,1,Patrick Corbin,Brandon Sproat
2026-04-17,TOR,AZ,-3,3,-1,2,Braydon Fisher,Michael Soroka
2026-04-18,TOR,AZ,-4,2,0,2,Max Scherzer,Zac Gallen
2026-04-19,TOR,AZ,6,10,8,10,Kevin Gausman,Ryne Nelson
2026-04-20,TOR,LAA,3,5,1,3,Dylan Cease,Reid Detmers
2026-04-21,TOR,LAA,2,4,0,1,Patrick Corbin,Jack Kochanowicz
2026-04-22,TOR,LAA,-4,3,-3,0,Eric Lauer,Jose Soriano
2026-04-24,TOR,CLE,-2,6,-2,6,Max Scherzer,Gavin Williams
2026-04-25,TOR,CLE,2,5,3,4,Kevin Gausman,Joey Cantillo
2026-04-26,TOR,CLE,2,4,2,4,Patrick Corbin,Slade Cecconi
2026-04-27,TOR,BOS,-5,0,-4,0,Dylan Cease,Ranger Suarez
2026-04-28,TOR,BOS,3,3,3,3,Trey Yesavage,Payton Tolle
2026-04-29,TOR,BOS,7,8,6,7,Eric Lauer,Brayan Bello
2026-04-30,TOR,MIN,-6,1,-3,1,Kevin Gausman,Bailey Ober
2026-05-01,TOR,MIN,4,7,4,6,Patrick Corbin,Simeon Woods
2026-05-02,TOR,MIN,7,11,-1,3,Dylan Cease,Connor Prielipp
2026-05-03,TOR,MIN,-1,3,-3,1,Trey Yesavage,Andrew Morris
2026-05-04,TOR,TB,-4,1,-4,1,Eric Lauer,Nick Martinez
2026-05-05,TOR,TB,-1,3,1,3,Kevin Gausman,Drew Rasmussen
2026-05-06,TOR,TB,-3,0,-2,0,Patrick Corbin,Shane Mcclanahan
2026-05-08,TOR,LAA,2,2,2,2,Dylan Cease,Reid Detmers
2026-05-09,TOR,LAA,13,14,8,8,Trey Yesavage,Jack Kochanowicz
2026-05-10,TOR,LAA,-5,1,-4,1,Spencer Miles,Jose Soriano
2026-05-11,TOR,TB,-3,5,-4,3,Kevin Gausman,Drew Rasmussen
2026-05-12,TOR,TB,-1,6,-4,0,Patrick Corbin,Shane Mcclanahan
2026-05-13,TOR,TB,2,5,0,0,Dylan Cease,Griffin Jax
2026-05-15,TOR,DET,-1,2,0,2,Trey Yesavage,Brenan Hanifee
2026-05-16,TOR,DET,1,2,-1,0,Mason Fluharty,Casey Mize
2026-05-17,TOR,DET,3,4,4,4,Kevin Gausman,Jack Flaherty
2026-05-18,TOR,NYY,-1,6,2,5,Patrick Corbin,Ryan Weathers
