date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,HOU,LAA,-3,0,0,0,Hunter Brown,Jose Soriano
2026-03-27,HOU,LAA,-4,2,-3,2,Mike Burrows,Yusei Kikuchi
2026-03-28,HOU,LAA,2,11,5,11,Cristian Javier,Reid Detmers
2026-03-29,HOU,LAA,2,9,0,6,Tatsuya Imai,Jack Kochanowicz
2026-03-30,HOU,BOS,7,8,5,5,Lance Mccullers,Ranger Suarez
2026-03-31,HOU,BOS,7,9,7,8,Hunter Brown,Brayan Bello
2026-04-01,HOU,BOS,2,6,3,5,Mike Burrows,Garrett Crochet
2026-04-03,HOU,ATH,-7,4,-10,1,Cristian Javier,Jeffrey Springs
2026-04-04,HOU,ATH,11,11,10,10,Tatsuya Imai,Luis Morales
2026-04-05,HOU,ATH,-2,10,-2,3,Lance Mccullers,Jacob Lopez
2026-04-06,HOU,COL,-2,7,-5,4,Cody Bolton,Ryan Feltner
2026-04-07,HOU,COL,-4,1,-2,1,Mike Burrows,Kyle Freeland
2026-04-08,HOU,COL,-8,1,-7,1,Cristian Javier,Michael Lorenzen
2026-04-10,HOU,SEA,-3,6,-2,3,Tatsuya Imai,Emerson Hancock
2026-04-11,HOU,SEA,-1,7,0,7,Lance Mccullers,Luis Castillo
2026-04-12,HOU,SEA,-5,1,-5,1,Cody Bolton,Logan Gilbert
2026-04-13,HOU,SEA,-4,2,-4,2,Mike Burrows,George Kirby
2026-04-14,HOU,COL,1,7,2,7,Colton Gordon,Michael Lorenzen
2026-04-15,HOU,COL,2,3,2,3,Spencer Arrighetti,Jose Quintana
2026-04-16,HOU,COL,-1,2,-1,2,Ryan Weiss,Juan Mejia
2026-04-17,HOU,STL,-5,4,-1,3,Peter Lambert,Kyle Leahy
2026-04-18,HOU,STL,-2,5,-4,1,Lance Mccullers,Andre Pallante
2026-04-19,HOU,STL,-2,5,-3,1,Mike Burrows,Matthew Liberatore
2026-04-20,HOU,CLE,7,9,5,7,Spencer Arrighetti,Slade Cecconi
2026-04-21,HOU,CLE,-3,5,1,3,Ryan Weiss,Parker Messick
2026-04-22,HOU,CLE,2,2,2,2,Peter Lambert,Tanner Bibee
2026-04-24,HOU,NYY,-8,4,-6,2,Lance Mccullers,Will Warren
2026-04-25,HOU,NYY,-5,3,0,2,Mike Burrows,Ryan Weathers
2026-04-26,HOU,NYY,3,7,6,7,Spencer Arrighetti,Luis Gil
2026-04-28,HOU,BAL,-2,3,-3,1,Kai Wei,Shane Baz
2026-04-30,HOU,BAL,1,11,6,11,Peter Lambert,Brandon Young
2026-05-01,HOU,BOS,-2,1,-2,1,Mike Burrows,Jake Bennett
2026-05-02,HOU,BOS,3,6,5,6,Spencer Arrighetti,Connelly Early
2026-05-03,HOU,BOS,2,3,0,1,Cody Bolton,Ranger Suarez
2026-05-04,HOU,LAD,-5,3,-5,3,Steven Okert,Yoshinobu Yamamoto
2026-05-05,HOU,LAD,1,2,2,2,Peter Lambert,Shohei Ohtani
2026-05-06,HOU,LAD,-10,2,-9,1,Lance Mccullers,Tyler Glasnow
2026-05-08,HOU,CIN,10,10,4,4,Mike Burrows,Nick Lodolo
2026-05-09,HOU,CIN,-2,1,-2,1,Spencer Arrighetti,Chase Burns
2026-05-10,HOU,CIN,-5,0,-5,0,Kai Wei,Andrew Abbott
2026-05-11,HOU,SEA,-2,1,-2,1,Peter Lambert,George Kirby
2026-05-12,HOU,SEA,-8,2,-5,2,Tatsuya Imai,Bryan Woo
2026-05-13,HOU,SEA,1,4,0,2,Lance Mccullers,Bryce Miller
2026-05-14,HOU,SEA,-5,3,-4,3,Mike Burrows,Luis Castillo
2026-05-15,HOU,TEX,2,2,1,1,Spencer Arrighetti,Jack Leiter
