date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-27,COL,MIA,-1,1,-1,1,Kyle Freeland,Sandy Alcantara
2026-03-28,COL,MIA,-1,3,0,3,Michael Lorenzen,Eury Perez
2026-03-29,COL,MIA,-1,3,1,3,Jose Quintana,Max Meyer
2026-03-30,COL,TOR,9,14,8,9,Tomoyuki Sugano,Cody Ponce
2026-03-31,COL,TOR,-4,1,-1,1,Ryan Feltner,Max Scherzer
2026-04-01,COL,TOR,1,2,-1,0,Kyle Freeland,Kevin Gausman
2026-04-03,COL,PHI,-9,1,-9,1,Michael Lorenzen,Aaron Nola
2026-04-04,COL,PHI,-1,1,-1,1,Brennan Bernardino,Jesus Luzardo
2026-04-05,COL,PHI,3,4,3,4,Tomoyuki Sugano,Taijuan Walker
2026-04-06,COL,HOU,2,9,5,9,Ryan Feltner,Cody Bolton
2026-04-07,COL,HOU,4,5,2,3,Kyle Freeland,Mike Burrows
2026-04-08,COL,HOU,8,9,7,8,Michael Lorenzen,Cristian Javier
2026-04-09,COL,SD,-4,3,0,1,Jimmy Herget,Randy Vasquez
2026-04-10,COL,SD,-3,2,-2,0,Tomoyuki Sugano,Walker Buehler
2026-04-11,COL,SD,-4,5,-5,4,Ryan Feltner,German Marquez
2026-04-12,COL,SD,-5,2,-4,2,Jimmy Herget,Nick Pivetta
2026-04-14,COL,HOU,-1,6,-2,5,Michael Lorenzen,Colton Gordon
2026-04-15,COL,HOU,-2,1,-2,1,Jose Quintana,Spencer Arrighetti
2026-04-16,COL,HOU,1,3,1,3,Juan Mejia,Ryan Weiss
2026-04-17,COL,LAD,-6,1,-6,1,Tomoyuki Sugano,Tyler Glasnow
2026-04-18,COL,LAD,1,4,1,4,Ryan Feltner,Emmet Sheehan
2026-04-19,COL,LAD,3,9,-1,3,Michael Lorenzen,Roki Sasaki
2026-04-20,COL,LAD,-9,3,-5,1,Jose Quintana,Justin Wrobleski
2026-04-21,COL,SD,-1,0,-1,0,Jimmy Herget,Randy Vasquez
2026-04-22,COL,SD,5,8,5,6,Tomoyuki Sugano,Walker Buehler
2026-04-23,COL,SD,-2,8,3,7,Ryan Feltner,Matt Waldron
2026-04-24,COL,NYM,1,4,1,2,Michael Lorenzen,Freddy Peralta
2026-04-26,COL,NYM,2,3,2,3,Jose Quintana,Nolan Mclean
2026-04-28,COL,CIN,-5,2,-2,2,Kyle Freeland,Chase Burns
2026-04-29,COL,CIN,11,13,5,5,Tomoyuki Sugano,Brandon Williamson
2026-04-30,COL,CIN,-2,4,-2,2,Michael Lorenzen,Andrew Abbott
2026-05-01,COL,ATL,-2,6,5,6,Jose Quintana,Grant Holmes
2026-05-02,COL,ATL,-8,1,-7,1,Brennan Bernardino,Chris Sale
2026-05-03,COL,ATL,-5,6,-3,5,Kyle Freeland,Spencer Strider
2026-05-04,COL,NYM,-2,2,-4,0,Tomoyuki Sugano,Huascar Brazoban
2026-05-06,COL,NYM,-5,5,-4,4,Michael Lorenzen,Freddy Peralta
2026-05-07,COL,NYM,4,6,0,2,Jose Quintana,Christian Scott
2026-05-08,COL,PHI,2,9,4,6,Chase Dollander,Jesus Luzardo
2026-05-09,COL,PHI,-6,3,-4,3,Kyle Freeland,Aaron Nola
2026-05-10,COL,PHI,-6,0,-6,0,Tomoyuki Sugano,Cristopher Sanchez
2026-05-12,COL,PIT,-2,1,-2,0,Michael Lorenzen,Paul Skenes
2026-05-13,COL,PIT,6,10,2,6,Jose Quintana,Mitch Keller
2026-05-14,COL,PIT,-5,2,-5,2,Chase Dollander,Mason Montgomery
2026-05-15,COL,AZ,-8,1,-6,1,Kyle Freeland,Merrill Kelly
2026-05-16,COL,AZ,2,4,1,3,Tomoyuki Sugano,Eduardo Rodriguez
2026-05-17,COL,AZ,-2,6,-6,2,Michael Lorenzen,Michael Soroka
2026-05-18,COL,TEX,1,7,4,7,Jose Quintana,Mackenzie Gore
2026-05-19,COL,TEX,-10,0,-8,0,Sammy Peralta,Tyler Alexander
2026-05-20,COL,TEX,-1,4,1,4,Kyle Freeland,Jack Leiter
2026-05-21,COL,AZ,-1,1,-1,0,Zach Agnos,Eduardo Rodriguez
2026-05-22,COL,AZ,1,3,-1,1,Tomoyuki Sugano,Michael Soroka
2026-05-23,COL,AZ,-1,4,-2,3,Michael Lorenzen,Zac Gallen
2026-05-24,COL,AZ,-8,1,-9,0,Jose Quintana,Ryne Nelson
2026-05-25,COL,LAD,-2,3,1,2,Tanner Gordon,Emmet Sheehan
2026-05-26,COL,LAD,-9,6,-14,1,Kyle Freeland,Eric Lauer
2026-05-27,COL,LAD,-3,1,-2,1,Tomoyuki Sugano,Shohei Ohtani
2026-05-29,COL,SF,2,8,-2,1,Michael Lorenzen,Logan Webb
2026-05-30,COL,SF,5,8,5,5,Ryan Feltner,Adrian Houser
2026-05-31,COL,SF,-13,6,-7,5,Tanner Gordon,Robbie Ray
2026-06-01,COL,LAA,1,9,-3,3,Kyle Freeland,Jose Soriano
2026-06-02,COL,LAA,6,8,6,8,Tomoyuki Sugano,Grayson Rodriguez
2026-06-03,COL,LAA,-7,4,-8,3,Michael Lorenzen,Walbert Urena
2026-06-05,COL,MIL,-2,7,2,3,Ryan Feltner,Brandon Sproat
2026-06-06,COL,MIL,-6,1,-1,1,Zach Agnos,Jacob Misiorowski
2026-06-07,COL,MIL,-8,4,-5,3,Kyle Freeland,Shane Drohan
2026-06-09,COL,CHC,4,7,4,7,Tomoyuki Sugano,Colin Rea
2026-06-10,COL,CHC,1,3,-1,0,Michael Lorenzen,Shota Imanaga
2026-06-11,COL,CHC,-6,3,-4,2,Ryan Feltner,Edward Cabrera
2026-06-12,COL,ATH,-2,4,0,4,Sean Sullivan,Gage Jump
2026-06-13,COL,ATH,-2,5,-2,5,Kyle Freeland,Joey Estes
2026-06-14,COL,ATH,14,23,6,14,Tomoyuki Sugano,Jeffrey Springs
2026-06-15,COL,CHC,-1,4,-1,1,Michael Lorenzen,Shota Imanaga
2026-06-16,COL,CHC,3,5,3,5,Ryan Feltner,Edward Cabrera
2026-06-17,COL,CHC,-2,6,-6,2,Sean Sullivan,Javier Assad
2026-06-19,COL,PIT,1,4,2,2,Kyle Freeland,Bubba Chandler
2026-06-20,COL,PIT,1,2,1,2,Tomoyuki Sugano,Paul Skenes
2026-06-21,COL,PIT,-2,6,-4,1,Michael Lorenzen,Jared Jones
2026-06-22,COL,BOS,1,3,-2,0,Ryan Feltner,Jake Bennett
2026-06-23,COL,BOS,-3,2,-4,1,Sean Sullivan,Sonny Gray
2026-06-24,COL,BOS,2,8,-3,3,Kyle Freeland,Ranger Suarez
2026-06-26,COL,MIN,-1,8,-7,0,Tomoyuki Sugano,Taj Bradley
2026-06-27,COL,MIN,3,8,1,3,Michael Lorenzen,Mike Paredes
2026-06-28,COL,MIN,-1,2,0,2,Ryan Feltner,Connor Prielipp
2026-06-29,COL,MIA,-3,7,-1,5,Sean Sullivan,Sandy Alcantara
2026-06-30,COL,MIA,-11,3,-7,1,Tanner Gordon,Eury Perez
2026-07-01,COL,MIA,3,6,3,5,Kyle Freeland,Max Meyer
2026-07-02,COL,MIA,10,14,8,12,Michael Lorenzen,Ryan Gusto
2026-07-03,COL,SF,12,15,11,14,Ryan Feltner,Logan Webb
2026-07-04,COL,SF,-2,4,-3,3,Sean Sullivan,Robbie Ray
2026-07-05,COL,SF,1,7,-2,4,Tanner Gordon,Tyler Mahle
2026-07-06,COL,LAD,-1,7,-3,3,Kyle Freeland,Eric Lauer
2026-07-07,COL,LAD,1,4,-2,1,Michael Lorenzen,Justin Wrobleski
2026-07-08,COL,LAD,-1,3,0,3,Gabriel Hughes,Roki Sasaki
2026-07-09,COL,SF,-6,2,-2,2,Ryan Feltner,Carson Whisenhunt
2026-07-10,COL,SF,1,4,0,1,Tanner Gordon,Robbie Ray
2026-07-11,COL,SF,-2,2,-3,1,Kyle Freeland,Tyler Mahle
2026-07-12,COL,SF,-2,1,0,1,Michael Lorenzen,Trevor Mcdonald
2026-07-17,COL,CIN,-5,2,-3,1,Gabriel Hughes,Brady Singer
2026-07-18,COL,CIN,7,10,8,10,Tomoyuki Sugano,Rhett Lowder
2026-07-19,COL,CIN,-3,6,-6,3,Ryan Feltner,Hunter Greene
2026-07-20,COL,WSH,-4,3,-1,3,Kyle Freeland,Andrew Alvarez
2026-07-21,COL,WSH,1,8,1,7,Michael Lorenzen,Carson Palmquist
2026-07-22,COL,WSH,-8,0,-1,0,Gabriel Hughes,Cade Cavalli
2026-07-24,COL,MIL,3,5,2,4,Tomoyuki Sugano,Shane Drohan
2026-07-25,COL,MIL,-3,5,-5,2,Ryan Feltner,Robert Gasser
2026-07-26,COL,MIL,-9,2,-7,1,Kyle Freeland,Jacob Misiorowski
2026-07-28,COL,SD,-1,7,0,4,Michael Lorenzen,Michael King
2026-07-29,COL,SD,-2,1,-3,0,Gabriel Hughes,Kyle Hart
2026-07-31,COL,KC,2,3,2,3,Tomoyuki Sugano,Michael Wacha
2026-08-01,COL,KC,6,12,4,8,Ryan Feltner,Luinder Avila
2026-08-02,COL,KC,7,8,7,8,Kyle Freeland,Seth Lugo
2026-08-03,COL,TB,-4,9,-6,2,Michael Lorenzen,Ian Seymour
2026-08-04,COL,TB,-2,7,2,7,Gabriel Hughes,Freddy Peralta
2026-08-05,COL,TB,-4,0,-3,0,Tomoyuki Sugano,Nick Martinez
2026-08-07,COL,STL,-1,2,-1,2,Ryan Feltner,Kyle Leahy
2026-08-08,COL,STL,2,8,3,7,Kyle Freeland,Matthew Liberatore
2026-08-09,COL,STL,-3,4,-1,3,Michael Lorenzen,Michael Mcgreevy
2026-08-10,COL,AZ,-9,0,-7,0,Gabriel Hughes,Michael Soroka
2026-08-11,COL,AZ,1,3,0,2,Tomoyuki Sugano,Mitch Bratt
2026-08-12,COL,AZ,2,6,4,6,Ryan Feltner,Merrill Kelly
