date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,SD,ATL,3,7,-1,3,Michael King,Chris Sale
2025-03-28,SD,ATL,1,4,0,3,Dylan Cease,Reynaldo Lopez
2025-03-29,SD,ATL,1,1,0,0,Randy Vasquez,Spencer Schwellenbach
2025-03-30,SD,ATL,5,5,2,2,Nick Pivetta,Aj Smith
2025-03-31,SD,CLE,5,7,5,7,Kyle Hart,Luis L
2025-04-01,SD,CLE,7,7,4,4,Michael King,Logan Allen
2025-04-02,SD,CLE,3,5,4,4,Dylan Cease,Ben Lively
2025-04-04,SD,CHC,-2,1,-2,1,Randy Vasquez,Shota Imanaga
2025-04-05,SD,CHC,-6,1,-7,0,Nick Pivetta,Matthew Boyd
2025-04-06,SD,CHC,1,8,-1,6,Kyle Hart,Ben Brown
2025-04-07,SD,ATH,1,5,1,4,Michael King,Luis Severino
2025-04-08,SD,ATH,-6,4,-5,4,Dylan Cease,Jeffrey Springs
2025-04-09,SD,ATH,1,2,1,2,Randy Vasquez,Osvaldo Bido
2025-04-11,SD,COL,8,8,7,7,Nick Pivetta,German Marquez
2025-04-12,SD,COL,2,2,2,2,Kyle Hart,Chase Dollander
2025-04-13,SD,COL,6,6,5,5,Michael King,Kyle Freeland
2025-04-14,SD,CHC,6,10,0,3,Dylan Cease,Jameson Taillon
2025-04-15,SD,CHC,-1,1,0,1,Randy Vasquez,Shota Imanaga
2025-04-16,SD,CHC,2,4,1,2,Nick Pivetta,Matthew Boyd
2025-04-18,SD,HOU,-2,4,-3,2,Kyle Hart,Ryan Gusto
2025-04-19,SD,HOU,-1,2,0,2,Michael King,Hayden Wesneski
2025-04-20,SD,HOU,1,3,0,2,Dylan Cease,Framber Valdez
2025-04-21,SD,DET,-2,4,-2,4,Randy Vasquez,Keider Montero
2025-04-22,SD,DET,2,2,2,2,Nick Pivetta,Jack Flaherty
2025-04-23,SD,DET,-6,0,-2,0,Kyle Hart,Reese Olson
2025-04-25,SD,TB,-1,0,-1,0,Michael King,Shane Baz
2025-04-26,SD,TB,-3,1,-2,1,Dylan Cease,Ryan Pepiot
2025-04-27,SD,TB,-2,2,-1,2,Randy Vasquez,Zack Littell
2025-04-29,SD,SF,3,7,1,5,Nick Pivetta,Logan Webb
2025-04-30,SD,SF,2,5,4,5,Michael King,Landen Roupp
2025-05-02,SD,PIT,5,9,1,5,Dylan Cease,Mitch Keller
2025-05-03,SD,PIT,1,2,-1,0,Randy Vasquez,Bailey Falter
2025-05-04,SD,PIT,4,4,4,4,Stephen Kolek,Andrew Heaney
2025-05-05,SD,NYY,1,4,-3,0,Nick Pivetta,Carlos Rodon
2025-05-06,SD,NYY,-9,3,0,2,Michael King,Clarke Schmidt
2025-05-07,SD,NYY,-1,3,1,1,Dylan Cease,Max Fried
2025-05-09,SD,COL,4,13,10,12,Randy Vasquez,Antonio Senzatela
2025-05-10,SD,COL,21,21,20,20,Stephen Kolek,Bradley Blalock
2025-05-11,SD,COL,-6,3,-5,1,Nick Pivetta,German Marquez
2025-05-12,SD,LAA,-4,5,1,4,Michael King,Yusei Kikuchi
2025-05-13,SD,LAA,2,6,1,2,Dylan Cease,Jose Soriano
2025-05-14,SD,LAA,4,5,2,3,Randy Vasquez,Kyle Hendricks
2025-05-16,SD,SEA,-4,1,-5,0,Stephen Kolek,Logan Evans
2025-05-17,SD,SEA,-3,1,0,1,Nick Pivetta,Emerson Hancock
