date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,NYY,MIL,2,4,1,2,Carlos Rodon,Freddy Peralta
2025-03-29,NYY,MIL,11,20,12,18,Max Fried,Nestor Cortes
2025-03-30,NYY,MIL,9,12,4,7,Marcus Stroman,Aaron Civale
2025-04-01,NYY,AZ,-2,5,2,4,Will Warren,Corbin Burnes
2025-04-02,NYY,AZ,-1,3,-4,0,Carlos Rodon,Zac Gallen
2025-04-03,NYY,AZ,2,9,6,9,Carlos Carrasco,Merrill Kelly
2025-04-04,NYY,PIT,5,9,6,7,Max Fried,Mitch Keller
2025-04-05,NYY,PIT,6,10,4,8,Marcus Stroman,Bailey Falter
2025-04-06,NYY,PIT,-1,4,-3,1,Will Warren,Andrew Heaney
2025-04-07,NYY,DET,-4,2,-4,1,Carlos Rodon,Casey Mize
2025-04-08,NYY,DET,-5,0,-5,0,Carlos Carrasco,Tarik Skubal
2025-04-09,NYY,DET,1,4,0,0,Max Fried,Jack Flaherty
2025-04-11,NYY,SF,-8,1,-9.0,0.0,Marcus Stroman,Robbie Ray
2025-04-12,NYY,SF,4,8,4,8,Will Warren,Jordan Hicks
2025-04-13,NYY,SF,-1,4,-1,3,Carlos Rodon,Logan Webb
2025-04-14,NYY,KC,3,4,3,4,Carlos Carrasco,Seth Lugo
2025-04-15,NYY,KC,2,4,2,4,Max Fried,Michael Wacha
2025-04-16,NYY,KC,1,4,0,3,Clarke Schmidt,Kris Bubic
2025-04-17,NYY,TB,3,6,3,6,Will Warren,Taj Bradley
2025-04-18,NYY,TB,1,1,1,1,Carlos Rodon,Drew Rasmussen
2025-04-19,NYY,TB,-2,8,2,6,Carlos Carrasco,Shane Baz
2025-04-20,NYY,TB,4,4,3,3,Max Fried,Ryan Pepiot
2025-04-21,NYY,CLE,-2,4,-6,0,Clarke Schmidt,Gavin Williams
2025-04-22,NYY,CLE,-1,2,-1,2,Will Warren,Tanner Bibee
2025-04-23,NYY,CLE,4,5,3,4,Carlos Rodon,Luis L
2025-04-25,NYY,TOR,-2,2,-1,0,Carlos Carrasco,Jose Berrios
2025-04-27,NYY,TOR,9,11,9,10,Max Fried,Chris Bassitt
2025-04-28,NYY,BAL,-1,3,-4,0,Will Warren,Tomoyuki Sugano
2025-04-29,NYY,BAL,12,15,11,12,Carlos Rodon,Kyle Gibson
2025-04-30,NYY,BAL,-1,4,-2,3,Carlos Carrasco,Cade Povich
2025-05-02,NYY,TB,3,3,3,3,Max Fried,Ryan Pepiot
2025-05-03,NYY,TB,-1,2,1,2,Ryan Yarbrough,Zack Littell
2025-05-04,NYY,TB,-2,5,-3,2,Will Warren,Taj Bradley
2025-05-05,NYY,SD,-1,3,3,3,Carlos Rodon,Nick Pivetta
2025-05-06,NYY,SD,9,12,0,2,Clarke Schmidt,Michael King
2025-05-07,NYY,SD,1,4,-1,0,Max Fried,Dylan Cease
2025-05-09,NYY,ATH,8,10,4,4,Will Warren,Osvaldo Bido
2025-05-10,NYY,ATH,-4,7,2,6,Carlos Rodon,Jp Sears
2025-05-11,NYY,ATH,10,12,9,11,Ryan Yarbrough,Luis Severino
2025-05-12,NYY,SEA,6,11,5,7,Clarke Schmidt,Emerson Hancock
2025-05-13,NYY,SEA,-1,1,-1,0,Max Fried,Bryan Woo
2025-05-14,NYY,SEA,1,3,-1,1,Will Warren,Luis Castillo
2025-05-16,NYY,NYM,4,6,5,6,Carlos Rodon,Tylor Megill
2025-05-17,NYY,NYM,-1,2,0,2,Clarke Schmidt,Griffin Canning
2025-05-18,NYY,NYM,6,8,0,2,Max Fried,David Peterson
2025-05-20,NYY,TEX,3,5,3,3,Will Warren,Patrick Corbin
2025-05-21,NYY,TEX,1,4,0,1,Ryan Yarbrough,Jacob Degrom
2025-05-22,NYY,TEX,1,1,1,1,Carlos Rodon,Nathan Eovaldi
2025-05-23,NYY,COL,-1,2,-1,2,Clarke Schmidt,Tanner Gordon
2025-05-24,NYY,COL,12,13,10,11,Max Fried,Kyle Freeland
2025-05-25,NYY,COL,1,5,1,4,Will Warren,Antonio Senzatela
2025-05-26,NYY,LAA,4,5,3,4,Ryan Yarbrough,Jack Kochanowicz
2025-05-27,NYY,LAA,1,3,2,2,Carlos Rodon,Tyler Anderson
2025-05-28,NYY,LAA,1,1,1,1,Clarke Schmidt,Yusei Kikuchi
2025-05-30,NYY,LAD,-3,5,-1,5,Max Fried,Tony Gonsolin
2025-05-31,NYY,LAD,-16,2,-13,1,Will Warren,Landon Knack
2025-06-01,NYY,LAD,4,7,5,6,Ryan Yarbrough,Yoshinobu Yamamoto
2025-06-03,NYY,CLE,1,3,1,1,Carlos Rodon,Tanner Bibee
2025-06-04,NYY,CLE,-4,0,-3,0,Clarke Schmidt,Luis L
2025-06-05,NYY,CLE,4,4,2,2,Max Fried,Slade Cecconi
2025-06-06,NYY,BOS,3,9,5,9,Will Warren,Walker Buehler
2025-06-07,NYY,BOS,-3,7,-3,5,Ryan Yarbrough,Garrett Crochet
2025-06-08,NYY,BOS,-4,7,-2,5,Carlos Rodon,Hunter Dobbins
2025-06-10,NYY,KC,8,10,8,10,Max Fried,Noah Cameron
2025-06-11,NYY,KC,3,6,5,5,Clarke Schmidt,Kris Bubic
2025-06-12,NYY,KC,1,1,0,0,Will Warren,Seth Lugo
2025-06-13,NYY,BOS,-1,1,-1,0,Ryan Yarbrough,Garrett Crochet
2025-06-14,NYY,BOS,-1,3,-4,0,Carlos Rodon,Hunter Dobbins
2025-06-15,NYY,BOS,-2,0,-2,0,Max Fried,Brayan Bello
2025-06-16,NYY,LAA,-1,0,0,0,Clarke Schmidt,Jose Soriano
