date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-04-14,LAD,COL,2,5,4,5,Dustin May,Antonio Senzatela
2025-04-26,LAD,PIT,4,8,0,3,Roki Sasaki,Mitch Keller
2025-04-13,LAD,CHC,-2,2,0,2,Tyler Glasnow,Colin Rea
2025-04-15,LAD,COL,4,6,3,5,Landon Knack,Ryan Feltner
2025-04-16,LAD,COL,1,8,2,8,Bobby Miller,German Marquez
2025-04-18,LAD,TEX,3,3,1,1,Yoshinobu Yamamoto,Jacob Degrom
2025-04-19,LAD,TEX,-1,3,1,3,Roki Sasaki,Nathan Eovaldi
2025-04-20,LAD,TEX,1,1,0,0,Tyler Glasnow,Tyler Mahle
2025-04-22,LAD,CHC,-1,10,-2,5,Dustin May,Shota Imanaga
2025-04-23,LAD,CHC,-1,6,-1,6,Ben Casparius,Matthew Boyd
2025-04-25,LAD,PIT,-3,0,-3,0,Yoshinobu Yamamoto,Paul Skenes
2025-04-27,LAD,PIT,7,9,7,9,Tyler Glasnow,Bailey Falter
2025-04-28,LAD,MIA,1,7,0,5,Dustin May,Edward Cabrera
2025-04-29,LAD,MIA,13,15,10,11,Jack Dreyer,Sandy Alcantara
2025-04-30,LAD,MIA,5,12,5,8,Tony Gonsolin,Cal Quantrill
2025-05-02,LAD,ATL,1,2,2,2,Yoshinobu Yamamoto,Grant Holmes
2025-05-03,LAD,ATL,7,10,4,7,Roki Sasaki,Spencer Schwellenbach
2025-05-04,LAD,ATL,-1,3,-2,2,Dustin May,Bryce Elder
2025-05-05,LAD,MIA,3,7,5,6,Jack Dreyer,Sandy Alcantara
2025-05-06,LAD,MIA,-1,4,-1,3,Tony Gonsolin,Cal Quantrill
2025-05-07,LAD,MIA,9,10,1,1,Landon Knack,Valente Bellozo
2025-05-08,LAD,AZ,-2,3,-5,0,Yoshinobu Yamamoto,Brandon Pfaadt
2025-05-09,LAD,AZ,3,14,-1,8,Roki Sasaki,Eduardo Rodriguez
