date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,MIA,PIT,1,5,-2,2,Sandy Alcantara,Paul Skenes
2025-03-28,MIA,PIT,-1,3,-3,1,Connor Gillispie,Mitch Keller
2025-03-29,MIA,PIT,1,5,0,2,Valente Bellozo,Bailey Falter
2025-03-30,MIA,PIT,1,3,-1,1,Max Meyer,Andrew Heaney
2025-03-31,MIA,NYM,-6,4,-8,2,Cal Quantrill,David Peterson
2025-04-01,MIA,NYM,2,4,2,4,Sandy Alcantara,Kodai Senga
2025-04-02,MIA,NYM,-1,5,1,2,Connor Gillispie,Clay Holmes
2025-04-04,MIA,ATL,-10,0,-3,0,Max Meyer,Spencer Schwellenbach
2025-04-05,MIA,ATL,4,4,3,3,Cal Quantrill,Aj Smith
2025-04-07,MIA,NYM,-2,0,-1,0,Valente Bellozo,Kodai Senga
2025-04-08,MIA,NYM,-5,5,-4,5,Connor Gillispie,Clay Holmes
2025-04-09,MIA,NYM,5,5,2,2,Max Meyer,Tylor Megill
2025-04-11,MIA,WSH,-3,4,2,4,Edward Cabrera,Mitchell Parker
2025-04-12,MIA,WSH,1,7,3,7,Sandy Alcantara,Trevor Williams
2025-04-13,MIA,WSH,7,11,1,4,Cal Quantrill,Mackenzie Gore
2025-04-15,MIA,AZ,-6,4,-9,1,Connor Gillispie,Merrill Kelly
2025-04-16,MIA,AZ,-4,2,-2,1,Max Meyer,Brandon Pfaadt
2025-04-17,MIA,AZ,-2,4,-3,3,Edward Cabrera,Eduardo Rodriguez
2025-04-18,MIA,PHI,-5,2,-5,2,Sandy Alcantara,Zack Wheeler
2025-04-19,MIA,PHI,-1,10,-5,4,Cal Quantrill,Taijuan Walker
2025-04-20,MIA,PHI,2,7,-3,1,Connor Gillispie,Jesus Luzardo
2025-04-21,MIA,CIN,3,6,3,3,Max Meyer,Nick Lodolo
2025-04-22,MIA,CIN,1,4,-1,2,Edward Cabrera,Nick Martinez
2025-04-23,MIA,CIN,-3,2,-1,2,Sandy Alcantara,Brady Singer
2025-04-25,MIA,SEA,4,8,2,6,Cal Quantrill,Logan Gilbert
2025-04-26,MIA,SEA,-14,0,-11,0,Connor Gillispie,Luis Castillo
2025-04-27,MIA,SEA,-1,6,-4,3,Max Meyer,Logan Evans
