cycle,ace,no2,no3,no4,no5,
0,Gerrit Cole,Clarke Schmidt,Jhony Brito,Nestor Cortes,Domingo German,
1,Gerrit Cole,Clarke Schmidt,Jhony Brito,Nestor Cortes,Domingo German,
2,Gerrit Cole,Clarke Schmidt,Jhony Brito,Nestor Cortes,Domingo German,
3,Gerrit Cole,Clarke Schmidt,Jhony Brito,Nestor Cortes,Domingo German,
4,Gerrit Cole,Clarke Schmidt,Jhony Brito,Nestor Cortes,Domingo German,
5,Gerrit Cole,Clarke Schmidt,Jhony Brito,Nestor Cortes,Domingo German,
6,Gerrit Cole,Clarke Schmidt,Jhony Brito,Domingo German,Gerrit Cole,
7,Nestor Cortes,Clarke Schmidt,Jhony Brito,Domingo German,Gerrit Cole,
8,Nestor Cortes,Clarke Schmidt,Jimmy Cordero,Domingo German,Gerrit Cole,
9,Nestor Cortes,Clarke Schmidt,Jhony Brito,Luis Severino,Gerrit Cole,
10,Nestor Cortes,Clarke Schmidt,Randy Vasquez,Luis Severino,Gerrit Cole,
11,Domingo German,Nestor Cortes,Clarke Schmidt,Luis Severino,Gerrit Cole,
12,Domingo German,Clarke Schmidt,Randy Vasquez,Gerrit Cole,Domingo German,
13,Clarke Schmidt,Luis Severino,Gerrit Cole,Domingo German,Clarke Schmidt,
14,Gerrit Cole,Jhony Brito,Domingo German,Clarke Schmidt,Luis Severino,
15,Gerrit Cole,Jhony Brito,Domingo German,Clarke Schmidt,Ian Hamilton,
16,Gerrit Cole,Domingo German,Clarke Schmidt,Randy Vasquez,Luis Severino,
17,Carlos Rodon,Gerrit Cole,Domingo German,Carlos Rodon,Clarke Schmidt,
18,Gerrit Cole,Luis Severino,Domingo German,Carlos Rodon,Clarke Schmidt,
19,Gerrit Cole,Luis Severino,Domingo German,Carlos Rodon,Gerrit Cole,
20,Clarke Schmidt,Luis Severino,Jhony Brito,Carlos Rodon,Gerrit Cole,
21,Clarke Schmidt,Luis Severino,Nestor Cortes,Carlos Rodon,Gerrit Cole,
22,Clarke Schmidt,Ian Hamilton,Ian Hamilton,Michael King,Gerrit Cole,
23,Clarke Schmidt,Luis Severino,Randy Vasquez,Jhony Brito,Gerrit Cole,
24,Clarke Schmidt,Carlos Rodon,Luis Severino,Michael King,Gerrit Cole,
25,Clarke Schmidt,Carlos Rodon,Luis Severino,Michael King,Gerrit Cole,
26,Clarke Schmidt,Carlos Rodon,Luis Severino,Michael King,Gerrit Cole,
27,Clarke Schmidt,Carlos Rodon,Luis Severino,Michael King,Gerrit Cole,
28,Carlos Rodon,Clarke Schmidt,Gerrit Cole,Luke Weaver,Carlos Rodon,
29,Clarke Schmidt,Michael King,Gerrit Cole,Luke Weaver,Carlos Rodon,
30,Clarke Schmidt,Michael King,Gerrit Cole,Luke Weaver,,
