cycle,ace,no2,no3,no4,no5,
0,Logan Webb,Alex Cobb,Ross Stripling,Anthony Desclafani,Logan Webb,
1,Alex Wood,Alex Cobb,Sean Manaea,???,Logan Webb,
2,Alex Wood,Alex Cobb,Sean Manaea,Anthony Desclafani,Logan Webb,
3,Alex Wood,Alex Cobb,Sean Manaea,Anthony Desclafani,Logan Webb,
4,Ross Stripling,Alex Cobb,John Brebbia,Anthony Desclafani,Logan Webb,
5,Sean Manaea,Alex Cobb,Ross Stripling,Anthony Desclafani,Logan Webb,
6,Sean Manaea,Alex Cobb,Ross Stripling,Anthony Desclafani,Logan Webb,
7,Sean Manaea,Alex Cobb,John Brebbia,Anthony Desclafani,Logan Webb,
8,Alex Wood,Alex Cobb,Ross Stripling,Anthony Desclafani,Logan Webb,
9,Alex Wood,John Brebbia,Alex Cobb,Anthony Desclafani,Scott Alexander,
10,Alex Wood,Logan Webb,Alex Cobb,Anthony Desclafani,John Brebbia,
11,Alex Wood,Logan Webb,Alex Cobb,Anthony Desclafani,John Brebbia,
12,Logan Webb,Alex Cobb,Anthony Desclafani,John Brebbia,John Brebbia,
13,Logan Webb,Alex Cobb,Anthony Desclafani,John Brebbia,Alex Wood,
14,Logan Webb,Ryan Walker,Anthony Desclafani,Ryan Walker,Alex Wood,
15,Logan Webb,Ryan Walker,Anthony Desclafani,Ryan Walker,Logan Webb,
16,Keaton Winn,Alex Cobb,Anthony Desclafani,Ross Stripling,Logan Webb,
17,Keaton Winn,Alex Cobb,Ross Stripling,Ryan Walker,Logan Webb,
18,Ross Stripling,Alex Cobb,Alex Wood,Logan Webb,Anthony Desclafani,
19,Ross Stripling,Alex Cobb,Alex Wood,Logan Webb,Scott Alexander,
20,Ross Stripling,Alex Cobb,Ryan Walker,Logan Webb,Ryan Walker,
21,Scott Alexander,Jakob Junis,Alex Cobb,Logan Webb,Scott Alexander,
22,Ross Stripling,Alex Cobb,Logan Webb,Jakob Junis,Ryan Walker,
23,Scott Alexander,Alex Cobb,Logan Webb,Ryan Walker,Jakob Junis,
24,Ryan Walker,Alex Cobb,Logan Webb,Jakob Junis,Scott Alexander,
25,Kyle Harrison,Alex Cobb,Logan Webb,Ryan Walker,Tristan Beck,
26,Kyle Harrison,Alex Cobb,Logan Webb,Jakob Junis,Tristan Beck,
27,Kyle Harrison,Alex Cobb,Logan Webb,Ryan Walker,Alex Wood,
28,Kyle Harrison,Logan Webb,Keaton Winn,Alex Cobb,Sean Manaea,
29,Kyle Harrison,Logan Webb,Scott Alexander,Sean Manaea,Alex Cobb,
30,Logan Webb,Kyle Harrison,Sean Manaea,John Brebbia,Ryan Walker,
31,Logan Webb,John Brebbia,Sean Manaea,,,
