cycle,ace,no2,no3,no4,no5,
0,Mitch Keller,Rich Hill,Vince Velasquez,Johan Oviedo,Roansy Contreras,
1,Mitch Keller,Rich Hill,Vince Velasquez,Johan Oviedo,Roansy Contreras,
2,Mitch Keller,Rich Hill,Vince Velasquez,Johan Oviedo,Roansy Contreras,
3,Mitch Keller,Rich Hill,Vince Velasquez,Johan Oviedo,Roansy Contreras,
4,Mitch Keller,Rich Hill,Vince Velasquez,Johan Oviedo,Roansy Contreras,
5,Mitch Keller,Vince Velasquez,Johan Oviedo,Roansy Contreras,Mitch Keller,
6,Vince Velasquez,Rich Hill,Johan Oviedo,Roansy Contreras,Mitch Keller,
7,Luis L,Rich Hill,Johan Oviedo,Roansy Contreras,Mitch Keller,
8,Luis L,Rich Hill,Johan Oviedo,Mitch Keller,Roansy Contreras,
9,Luis L,Rich Hill,Johan Oviedo,Mitch Keller,Vince Velasquez,
10,Luis L,Rich Hill,Johan Oviedo,Mitch Keller,Roansy Contreras,
11,Luis L,Rich Hill,Johan Oviedo,Mitch Keller,Roansy Contreras,
12,Rich Hill,Johan Oviedo,Mitch Keller,Luis L,Osvaldo Bido,
13,Johan Oviedo,Rich Hill,Mitch Keller,Luis L,Osvaldo Bido,
14,Johan Oviedo,Rich Hill,Mitch Keller,Luis L,Osvaldo Bido,
15,Johan Oviedo,Rich Hill,Mitch Keller,Luis L,Osvaldo Bido,
16,Johan Oviedo,Rich Hill,Mitch Keller,Luis L,Osvaldo Bido,
17,Johan Oviedo,Rich Hill,Mitch Keller,Carmen Mlodzinski,Rich Hill,
18,Johan Oviedo,Osvaldo Bido,Quinn Priester,Mitch Keller,Rich Hill,
19,Johan Oviedo,Ryan Borucki,Mitch Keller,Quinn Priester,Rich Hill,
20,Johan Oviedo,Mitch Keller,Quinn Priester,Rich Hill,Johan Oviedo,
21,Osvaldo Bido,Mitch Keller,Quinn Priester,Bailey Falter,Johan Oviedo,
22,Osvaldo Bido,Mitch Keller,Quinn Priester,Bailey Falter,Johan Oviedo,
23,Andre Jackson,Quinn Priester,Bailey Falter,Johan Oviedo,Andre Jackson,
24,Mitch Keller,Ryan Borucki,Thomas Hatch,Johan Oviedo,Luis L,
25,Rob Zastryzny,Mitch Keller,Colin Selby,Bailey Falter,Johan Oviedo,
26,Colin Selby,Andre Jackson,Mitch Keller,Thomas Hatch,Johan Oviedo,
27,Luis L,Andre Jackson,Colin Selby,Mitch Keller,Johan Oviedo,
28,Luis L,,,,,
